assignedGroup,assignedTC,docId,projApproved,projectId,projectLink,projectMilestone,projectStatus,workType,docAffected,workNotes,projApprovedDate,updateDependency
smpte-27c-tcwg-dx,smpte-27c-tc,SMPTE.ST429-20.2023,true,st429-20-20XX-id,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2035,"[{""current"":false,""miledateEnd"":""2022-02-01"",""miledateStart"":""2021-07-23"",""milestoneAct"":""PCD (45%)""},{""current"":false,""milestoneAct"":""DP (85%)""},{""current"":true,""milestoneAct"":""Published (100%)""}]",Complete,Intial Draft,undefined,undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st429-3-2007-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2033,"[{""current"":true,""milestoneAct"":""WG/DG working on WD (20%)""}]",Open,Revision,"[""SMPTE.ST429-3.2007""]",undefined,2021-04-08,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st429-4-2020-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2032,undefined,Open,Revision,"[""SMPTE.ST429-4.2020""]",undefined,2021-04-08,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st429-5-2017-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2031,undefined,Open,Revision,"[""SMPTE.ST429-5.2017""]",undefined,2021-04-08,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st429-6-2006-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2030,undefined,Open,Revision,"[""SMPTE.ST429-6.2006"",""SMPTE.ST429-6.2006Am1.2018""]",Roll in ST 429-6:2006 Am1:2018,2021-04-08,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st429-7-2006-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST429-7.2006""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st429-8-2007-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST429-8.2007""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st429-9-2014-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST429-9.2014""]",undefined,undefined,"[""SMPTE.ST429-8.2007""]"
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st430-1-2017-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2024,"[{""current"":true,""milestoneAct"":""WG/DG working on WD (20%)""}]",Open,Revision,"[""SMPTE.ST430-1.2017"",""SMPTE.ST430-1.2017Am1.2019""]",Roll in ST 430-1:2017 Am 1:2019 ,2021-04-08,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st430-10-2010-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST430-10.2010""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st430-11-2010-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST430-11.2010""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st430-12-2014-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2023,undefined,Open,Revision,"[""SMPTE.ST430-12.2014"",""SMPTE.ST430-12.2014Am1.2019""]",Roll in ST 430-12:2014 Am1:2019,2021-04-08,undefined
smpte-21dc-tcdg-smsomb,smpte-21dc-tc,SMPTE.ST430-14.2022,true,st430-14-2015-rev-001,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&docLabel=21DC+ST+430-14+Revision+-+Digital+Sync+Signal+and+Aux+Data+Transfer+Protocol+(ST)+(OLC+Legacy)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22sfXBl-Ci8UWpVT_YbD8gqGQAMMIf%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,"[{""milestoneAct"":""FCD Ballot Comment Resolution (60%)""},{""miledateEnd"":""2021-10-25"",""miledateStart"":""2021-11-08"",""milestoneAct"":""DP Ballot (80%)""},{""miledateEnd"":""2021-12-07"",""miledateStart"":""2021-12-28"",""milestoneAct"":""ST Audit (90%)""},{""current"":true,""miledateStart"":""2022-05-22"",""milestoneAct"":""Published (100%)""}]",Complete,Revision,"[""SMPTE.ST430-14.2015""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st430-14-2022-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2021,undefined,Open,Revision,"[""SMPTE.ST430-14.2022""]",undefined,2021-04-08,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st430-15-2017-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST430-15.2017""]",undefined,undefined,"[""SMPTE.ST430-16.2017""]"
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st430-16-2017-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST430-16.2017""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st430-17-2022-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2020,undefined,Open,Revision,"[""SMPTE.ST430-17.2022""]",undefined,2021-04-08,undefined
smpte-21dc-tcdg-smsomb,smpte-21dc-tc,SMPTE.ST430-17.2022,true,st430-17-20XX-id,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC+SMS+OMB+Comm.+Protocol+(ST-430-17)+(OLC+Legacy)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%222hKfF4TnV0-Tn7MfhUGVHGQADMvY%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,"[{""miledateEnd"":""2021-08-04"",""miledateStart"":""2021-07-21"",""milestoneAct"":""DP Ballot (80%)""},{""miledateEnd"":""2021-09-28"",""miledateStart"":""2021-08-04"",""milestoneAct"":""DP (85%)""},{""miledateEnd"":""2021-10-19"",""miledateStart"":""2021-09-28"",""milestoneAct"":""ST Audit (90%)""},{""current"":true,""miledateStart"":""2022-01-19"",""milestoneAct"":""Published (100%)""}]",Complete,Intial Draft,undefined,undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st430-2-2017-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST430-2.2017""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st430-3-2012-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST430-3.2012""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st430-4-2008-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST430-4.2008"",""SMPTE.ST430-4.2008Am1.2011""]",Roll in ST 430-4:2008 Am1:2011,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st430-5-2011-rev-002,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2022,undefined,Open,Revision,"[""SMPTE.ST430-5.2011""]",undefined,2021-04-08,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st430-6-2010-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST430-6.2010""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st430-9-2008-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST430-9.2008"",""SMPTE.ST430-9.2008Am1.2011""]",Roll in ST 430-9:2008 Am1:2011,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st431-1-2006-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST431-1.2006""]",See GitHub for ISO TC 36 comment responses,undefined,undefined
